Free Agent Catchers  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Jesus Ordonez C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Miller C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris O'Brien C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rene Garcia C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Colton Plaia C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Juan Flores C | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Thomas Dillard C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Franklin Navarro C | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Calvin Harris C | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Aramis Garcia C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Caleb Lomavita C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carlos Linarez C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Geovanny Planchart C | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Hernandez C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tatem Levins C | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Braeden Schlehuber C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dean Nevarez C | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Spencer Navin C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Manuel Garcia C | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ramon Ramirez C | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ethan Anderson C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Adam Weisenburger C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tyler Cropley C | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kevin Plawecki C | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Victor Mesia C | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Weston Eberly C | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Graysen Tarlow C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andrew Knapp C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jonathan Aceves C | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ivan Luciano C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Hudgins C | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tyler Payne C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nick Rickles C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Sal Giardina C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jack Conley C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dillon Tatum C | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brian Navarreto C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Cantu C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Pedro Dalmagro C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jase Mitchell C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Aaron Antonini C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tayden Hall C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Zach Jackson C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ramon Rodriguez C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Keduar Trujillo C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Will Bartlett C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Philip Clarke C | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Morgan Lofstrom C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Alex Lavisky C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Shane Zeile C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Connor Pavolony C | BAL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Juan Garcia C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Berglund C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Davis Diaz C | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Logan Ice C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Charlie Valerio C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nelson Quiroz C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jordan Procyshen C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Joey Morgan C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Juan Fernandez C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Luke Berryhill C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andres Sosa C | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Max George C | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Manuel Palencia C | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Casey Schroeder C | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Hernandez C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andy Thomas C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Steve Bean C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eric Rodriguez C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jake Romanski C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jacob Sharp C | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jhon Nunez C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ty Ross C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ricardo Olivar C | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Oscar Gonzalez C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Francisco Diaz C | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tim Roberson C | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Derrick Chung C | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Santiago Nessy C | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Scott Kapers C | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brandon Brosher C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Sam McMillan C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jesus Lopez C | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jack Murphy C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Alvarez C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Angel Lopez Alvarez C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Austin Barnes C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Caleb Roberts C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jeff Glenn C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Julio Rodriguez C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dan Rizzie C | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carlos Perez C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rene Pinto C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andres Angulo C | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Josh Breaux C | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cal Stark C | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jason Schiavone C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Xavier Fernandez C | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Christian Bethancourt C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Zane Evans C | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andrick Nava C | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Michael Tinsley C | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Sandro Gaston C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Radley Haddad C | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Rusber Estrada C | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chase Vallot C | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Francisco Mejia C | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tyler Ogle C | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Geraldi Diaz C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Brady Lindsly C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Matthew Wood C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Renae Martinez C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tres Barrera C | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Pablo Aliendo C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Santiago Chavez C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ryan Campos C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Josh Caron C | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Nathan Rodriguez C | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andrew Cossetti C | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Mike Rothenberg C | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Antonio Gomez C | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Collin Price C | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,James Free C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Matheu Nelson C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kenny Piper C | TB ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ethan Salas C | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,David Martin C | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jan Mercado C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Connor Caskenette C | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Matt Morgan C | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carter Trice C | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,John Michael Faile C | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
