All First Basemen 2025  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS,
W ,Ryan Nicholson 1B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yoshitomo Tsutsugo 1B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Andy Yerzy 1B | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Sam Kulasingam 1B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cole Mathis 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Manuel Pena 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Zachary Zubia 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ramon Hernandez 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kacy Clemens 1B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Kole Calhoun 1B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Caden Connor 1B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Christian Williams 1B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Meyers 1B | DET ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Neyfy Castillo 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Scott Schreiber 1B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ramon Mendoza 1B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Anthony Miller 1B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Yohairo Cuevas 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Felix Stevens 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ewry Espinal 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jesus Valdez 1B | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dennis Raben 1B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cal Towey 1B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eric Aguilera 1B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ralphy Velazquez 1B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bryce Ball 1B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,K.J. Woods 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Lewin Diaz 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Bligh Madris 1B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Eric Bitonti 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Erick Meza 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Abimelec Ortiz 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Patrick Wisdom 1B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Daniel Palka 1B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Will Frizzell 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Taylor Ard 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Lyle Lin 1B | ATH ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Arroyo 1B | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Pieters 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Christian Marrero 1B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dalton Kelly 1B | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jose Ruiz 1B | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ryan Clifford 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tyreque Reed 1B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Spencer Henson 1B | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Sonny DiChiara 1B | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris DeVito 1B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Leandro Emiliani 1B | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Josh Lester 1B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Dillon Paulson 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jake Holton 1B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Wes Clarke 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Carter Cunningham 1B | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Chris Harvey 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Riley Nelson 1B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Joey Gallo 1B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Ryan Holgate 1B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Matt Winaker 1B | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Tony Blanco 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Cole Zabowski 1B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jantzen Witte 1B | SD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,John Rhodes 1B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Mason Martin 1B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Will Maddox 1B | SF ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Roberto Ramos 1B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Blake Burke 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jesus Chirinos 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Derlin Figueroa 1B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Edgar Alvarez 1B | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Blaze Jordan 1B | STL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Munetaka Murakami 1B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
W ,Jordan George 1B | KC ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0
