Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
2B,Gleyber Torres 2B | DET,3,"2B,DH,SS",308.0,158.0
RES,Nick Madrigal 3B | LAA ,1,"2B,DH",81.0,17.0
RP,Giovanny Gallegos RP | LAD,5,RP,199.0,110.0
RES,Ryan Mountcastle 1B | BAL ,3,"1B,DH,OF",276.0,89.0
SS,Bryson Stott 2B | PHI,1,"DH,SS",224.0,0.0
RES,Jorge Soler OF | LAA,2,"DH,OF",116.0,0.0
RES,Mark Canha OF | TEX ,2,"DH,OF",305.0,12.0
RP,Blake Treinen RP | LAD ,1,RP,19.0,0.0
RES,Corey Knebel RP | CHW,1,RP,126.0,22.0
RES,Joe Barlow RP | TEX,1,RP,124.0,21.0
RES,Andrew Benintendi OF | CHW ,1,"DH,OF",287.0,218.0
RES,Yoan Moncada 3B | LAA,2,"3B,DH",148.0,0.0
RES,Max Stassi C | SF,2,"C,DH",77.0,0.0
Ireland
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SP,Gerrit Cole SP | NYY ,65,SP,601.0,584.0
1B,Freddie Freeman 1B | LAD,57,"1B,DH",543.0,519.0
OF,Nick Castellanos OF | SD ,17,"DH,OF",244.0,221.0
RP,Josh Hader RP | HOU ,15,RP,268.0,198.0
RP,Craig Kimbrel RP | NYM ,8,RP,222.0,37.0
OF,Mitch Haniger OF | SEA,5,"DH,OF",113.0,76.0
DH,Anthony Rizzo 1B | NYY,15,"1B,DH",358.0,354.0
C,Gary Sanchez C | MIL,3,"C,DH",170.0,15.0
SP,Alek Manoah SP | LAA ,9,SP,596.0,524.0
SS,"Carlos Correa 3B,SS | HOU ",21,"DH,SS",304.0,35.0
OF,Fernando Tatis Jr. OF | SD,24,"DH,OF,SS",0.0,0.0
RES,Joey Gallo 1B | CHW,5,"DH,OF",121.0,11.0
RES,Charlie Blackmon RF | ,11,"DH,OF",294.0,290.0
SP,Zack Greinke SP | KC,6,SP,205.0,0.0
RES,Marcell Ozuna DH | PIT,6,"DH,OF",220.0,47.0
SP,Zac Gallen SP | ARI ,5,SP,565.0,334.0
RES,Patrick Corbin SP | TEX,1,SP,106.0,0.0
RES,Joe Ryan SP | MIN ,6,SP,378.0,139.0
RES,Luis Garcia SP | HOU ,4,SP,401.0,130.0
RES,Eugenio Suarez 3B | CIN,1,"3B,DH,SS",277.0,19.0
RES,Jesus Aguilar 1B | ,2,"1B,DH",174.0,0.0
RES,Lorenzo Cain CF | ,2,"DH,OF",34.0,0.0
RES,Noah Syndergaard SP | CLE,8,SP,255.0,174.0
RES,Omar Narvaez C | HOU,1,"C,DH",89.0,0.0
RES,Chris Taylor OF | LAA,7,"2B,DH,OF,SS",152.0,44.0
Sarre
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
