Austin Bats
Pos,Player,Salary,Elig,Total Fpts,Active Fpts,
SP,Sandy Alcantara SP | MIA ,52,SP,344.0,344.0
SS,Corey Seager SS | TEX,22,"DH,SS",435.0,388.0
SP,Max Scherzer SP | TOR ,48,SP,418.0,418.0
2B,"Jeff McNeil 2B,OF | ATH",6,"2B,DH,OF",363.0,131.0
OF,Bryan Reynolds OF | PIT,11,"DH,OF",386.0,387.0
OF,Luis Robert OF | NYM ,18,"DH,OF",386.0,336.0
DH,"Andres Gimenez 2B,SS | TOR",8,"2B,DH,SS",372.0,132.0
OF,Brandon Nimmo OF | TEX,7,"DH,OF",370.0,370.0
3B,Justin Turner 1B | CHC,6,"3B,DH",387.0,340.0
SP,Carlos Rodon SP | NYY ,18,SP,62.0,12.0
RES,Lars Nootbaar OF | STL ,2,"DH,OF",300.0,0.0
RES,Masataka Yoshida DH | BOS,6,"DH,OF",360.0,147.0
RES,Gunnar Henderson SS | BAL,10,"3B,DH",355.0,227.0
SP,Freddy Peralta SP | NYM ,5,SP,452.0,452.0
SP,Martin Perez SP | ATL ,3,SP,237.0,165.0
RP,"Nick Martinez SP,RP | TB",1,"RP,SP",231.0,76.0
RES,Yasmani Grandal C | PIT,1,"C,DH",135.0,0.0
RES,Raisel Iglesias RP | ATL ,1,RP,301.0,170.0
RES,"Amed Rosario 2B,3B | NYY",1,"DH,SS",273.0,0.0
RES,Nico Hoerner 2B | CHC,4,"DH,SS",487.0,384.0
